Produto Interno Bruto Per Capita,,
"Observatório do Trabalho do Estado de Minas Gerais, Municípios.  Ano: 2021.  Valores em reais (R$).",,
Municípios,Ano(s),Produto interno bruto per capita
,,Total
Jacinto ,2021,"10.680,55"
Jacuí ,2021,"19.619,02"
Jacutinga ,2021,"43.106,68"
Jaguaraçu ,2021,"34.860,43"
Jaíba ,2021,"21.310,16"
Jampruca ,2021,"15.136,53"
Janaúba ,2021,"22.157,83"
Januária ,2021,"12.133,95"
Japaraíba ,2021,"22.937,40"
Japonvar ,2021,"9.688,75"
Jeceaba ,2021,"407.353,20"
Jenipapo de Minas ,2021,"10.214,67"
Jequeri ,2021,"15.840,35"
Jequitaí ,2021,"17.614,92"
Jequitibá ,2021,"24.253,55"
Jequitinhonha ,2021,"10.754,52"
Jesuânia ,2021,"21.827,32"
Joaíma ,2021,"10.509,42"
Joanésia ,2021,"25.154,48"
João Monlevade ,2021,"59.963,67"
João Pinheiro ,2021,"44.929,59"
Joaquim Felício ,2021,"15.206,06"
Jordânia ,2021,"9.857,64"
José Gonçalves de Minas ,2021,"11.565,81"
Josenópolis ,2021,"11.815,85"
José Raydan ,2021,"14.172,89"
Juatuba ,2021,"51.653,48"
Juiz de Fora ,2021,"35.145,34"
Juramento ,2021,"11.839,64"
Juruaia ,2021,"25.392,25"
Juvenília ,2021,"11.502,41"
Ladainha ,2021,"8.063,14"
Lagamar ,2021,"31.961,94"
Lagoa da Prata ,2021,"37.310,73"
Lagoa dos Patos ,2021,"14.675,29"
Lagoa Dourada ,2021,"26.337,64"
Lagoa Formosa ,2021,"31.130,75"
Lagoa Grande ,2021,"30.214,48"
Lagoa Santa ,2021,"32.802,82"
Lajinha ,2021,"20.069,96"
Lambari ,2021,"19.293,34"
Lamim ,2021,"15.487,44"
Laranjal ,2021,"13.971,34"
Lassance ,2021,"29.649,11"
Lavras ,2021,"27.818,10"
Leandro Ferreira ,2021,"17.228,55"
Leme do Prado ,2021,"13.448,01"
Leopoldina ,2021,"21.124,06"
Liberdade ,2021,"21.553,54"
Lima Duarte ,2021,"20.279,44"
Limeira do Oeste ,2021,"60.582,62"
Lontra ,2021,"9.610,66"
Luisburgo ,2021,"21.249,60"
Luislândia ,2021,"9.721,43"
Luminárias ,2021,"27.448,05"
Luz ,2021,"35.908,88"
Machacalis ,2021,"15.811,47"
Machado ,2021,"32.188,05"
Madre de Deus de Minas ,2021,"58.993,52"
Malacacheta ,2021,"12.708,51"
Mamonas ,2021,"9.155,69"
Manga ,2021,"13.482,39"
Manhuaçu ,2021,"35.607,52"
Manhumirim ,2021,"24.613,19"
Mantena ,2021,"17.248,55"
Maravilhas ,2021,"28.738,33"
Mar de Espanha ,2021,"17.526,23"
Maria da Fé ,2021,"14.490,07"
Mariana ,2021,"119.155,40"
Marilac ,2021,"14.150,23"
Mário Campos ,2021,"12.520,55"
Maripá de Minas ,2021,"24.993,05"
Marliéria ,2021,"14.999,89"
Marmelópolis ,2021,"15.843,65"
Martinho Campos ,2021,"35.176,11"
Martins Soares ,2021,"24.963,05"
Mata Verde ,2021,"10.526,08"
Materlândia ,2021,"13.710,97"
Mateus Leme ,2021,"34.132,67"
Mathias Lobato ,2021,"13.915,37"
Matias Barbosa ,2021,"42.951,23"
Matias Cardoso ,2021,"13.964,57"
Matipó ,2021,"22.270,48"
Mato Verde ,2021,"12.741,80"
Matozinhos ,2021,"39.152,41"
Matutina ,2021,"26.036,56"
Medeiros ,2021,"64.058,50"
Medina ,2021,"12.224,08"
Mendes Pimentel ,2021,"12.006,86"
Mercês ,2021,"14.085,21"
Mesquita ,2021,"10.833,03"
Minas Novas ,2021,"11.112,45"
Minduri ,2021,"42.093,45"
Mirabela ,2021,"11.941,74"
Miradouro ,2021,"16.084,86"
Miraí ,2021,"21.973,70"
Miravânia ,2021,"9.477,13"
Moeda ,2021,"15.529,83"
Moema ,2021,"20.110,03"
Monjolos ,2021,"21.433,52"
Monsenhor Paulo ,2021,"26.033,53"
Montalvânia ,2021,"11.313,56"
Monte Alegre de Minas ,2021,"35.500,10"
Monte Azul ,2021,"12.467,46"
Monte Belo ,2021,"27.847,63"
Monte Carmelo ,2021,"32.440,12"
Monte Formoso ,2021,"8.919,75"
